constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Tiruppattur,185,SEENIVASA SETHUPATHY. R,TVK,83375,,GEN,South,1
Veppanahalli,54,SRINIVASAN.P.S,DMK,74691,,GEN,North,138
Kanniyakumari,229,THALAVAI SUNDARAM. N,AIADMK,75045,,GEN,South,214
Polur,66,ABISHEK. R,TVK,67961,,GEN,North,227
Tirukkoyilur,76,PALANISAMY S,AIADMK,73033,,GEN,Central,285
Paramathi-Velur,95,SEKAR S,AIADMK,61349,,GEN,Central,308
Kulithalai,137,SURIYANUR. A. CHANDRAN,DMK,68138,,GEN,Kongu,579
Kumbakonam,171,VINOTH,TVK,78650,,GEN,Delta,679
Palani,127,RAVIMANOHARAN. K,AIADMK,66986,,GEN,South,693
Tindivanam,72,VANNI ARASU,VCK,63833,,SC,Central,734
