constituency,ac_number,candidate,party,votes,turnout,reserved,region,margin
Gummidipundi,1,GOVINDARAJAN T.J,DMK,126452,78.08,GEN,Chennai Metro,50938
Ponneri,2,DURAI. CHANDRASEKAR,INC,94528,78.2,SC,Chennai Metro,9689
Tiruttani,3,S.Chandran,DMK,120314,78.76,GEN,Chennai Metro,29253
Thiruvallur,4,"RAAJENDRAN, V.G.",DMK,107709,77.2,GEN,Chennai Metro,22701
Poonamallee,5,Krishnaswamy A,DMK,149578,72.99,SC,Chennai Metro,94110
Avadi,6,Nasar S M,DMK,150287,67.37,GEN,Chennai Metro,55275
Maduravoyal,7,GANAPATHY.K,DMK,121298,60.3,GEN,Chennai Metro,31721
Ambattur,8,JOSEPH SAMUEL,DMK,114554,62.01,GEN,Chennai Metro,42146
Madavaram,9,SUDHARSANAM. S,DMK,151485,66.37,GEN,Chennai Metro,57071
Thiruvottiyur,10,K.P.SHANKAR,DMK,88185,65.15,GEN,Chennai Metro,37661
Dr. Radhakrishnan Nagar,11,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,70.98,GEN,Chennai Metro,42479
Perambur,12,SHEKAR. R.D,DMK,105267,63.0,GEN,Chennai Metro,54976
Kolathur,13,M.K. STALIN,DMK,105522,61.04,GEN,Chennai Metro,70384
Villivakkam,14,A . Vetriazhagan,DMK,76127,55.92,GEN,Chennai Metro,37237
Thiru-Vi-Ka-Nagar,15,SIVAKUMAR.P,DMK,81727,60.62,SC,Chennai Metro,55013
Egmore,16,I.PARANTHAMEN,DMK,68832,61.13,SC,Chennai Metro,38768
Royapuram,17,MURTHY.R.IDREAM,DMK,64424,62.6,GEN,Chennai Metro,27779
Harbour,18,SEKARBABU. P.K,DMK,59317,57.64,GEN,Chennai Metro,27274
Chepauk-Thiruvallikeni,19,UDHAYANIDHI STALIN,DMK,93285,58.33,GEN,Chennai Metro,69355
Thousand Lights,20,EZHILAN N,DMK,71867,56.25,GEN,Chennai Metro,32462
Anna Nagar,21,M.K. Mohan,DMK,80054,57.33,GEN,Chennai Metro,27445
Virugampakkam,22,AMV.PRABHAKARA RAJA,DMK,74351,57.59,GEN,Chennai Metro,18367
Saidapet,23,SUBRAMANIAN. MA,DMK,80194,57.36,GEN,Chennai Metro,29408
Theayagaraya Nagar,24,KARUNANITHI J,DMK,56035,55.99,GEN,Chennai Metro,137
Mylapore,25,VELU.DHA,DMK,68392,56.6,GEN,Chennai Metro,12633
Velachery,26,JMH.AASSAN MAULAANA,INC,68493,56.18,GEN,Chennai Metro,4352
Shozhinganallur,27,S.ARAVINDRAMESH,DMK,171558,55.51,GEN,Chennai Metro,35405
Alandur,28,T.M.Anbarasan,DMK,116785,60.82,GEN,Chennai Metro,40571
Sriperumbudur,29,SELVAPERUNTHAGAI,INC,115353,73.94,SC,Chennai Metro,10879
Pallavaram,30,KARUNANITHI,DMK,126427,60.86,GEN,Chennai Metro,37781
Tambaram,31,Raja.S.R,DMK,116840,59.55,GEN,Chennai Metro,36824
Chengalpattu,32,VARALAKSHMI.M,DMK,130573,63.54,GEN,Chennai Metro,26665
Thiruporur,33,S.S.Balaji,VCK,93954,76.36,GEN,North,1947
Cheyyur,34,Babu M,VCK,82750,77.88,SC,North,4042
Maduranthakam,35,Maragatham. K,AIADMK,86646,80.65,SC,North,3570
Uthiramerur,36,SUNDAR K,DMK,93427,80.1,GEN,North,1622
Kancheepuram,37,C.V.M.P. Ezhailzrasan,DMK,102712,73.28,GEN,North,11595
Arakonam,38,S.RAVI,AIADMK,85399,74.89,SC,North,27169
Sholinghur,39,A.M.MUNIRATHINAM,INC,110228,80.09,GEN,North,26698
Katpadi,40,DURAIMURUGAN,DMK,85140,74.0,GEN,North,746
Ranipet,41,R.GANDHI,DMK,103291,77.24,GEN,North,16498
Arcot,42,J.L.Eswarappan,DMK,103885,79.62,GEN,North,19958
Vellore,43,Karthikeyan .P,DMK,84299,70.25,GEN,North,9181
Anaikattu,44,A.P.Nandakumar,DMK,95159,77.05,GEN,North,6360
Kilvaithinankuppam,45,M.JAGAN MOORTHY,AIADMK,84579,76.5,SC,North,10582
Gudiyatham,46,Amulu.V,DMK,100412,72.56,SC,North,6901
Vaniayambadi,47,G.SENDHIL KUMAR,AIADMK,88018,75.55,GEN,North,4904
Ambur,48,VILWANATHAN.A.C,DMK,90476,74.01,GEN,North,20232
Jolarpet,49,DEVARAJI.K.,DMK,89490,80.98,GEN,North,1091
Tiruppattur,50,A. NALLATHAMBI,DMK,96522,76.97,GEN,North,28240
Uthangarai,51,T.M.TAMILSELVAM,AIADMK,99675,78.37,SC,North,28387
Bargur,52,MATHIAZHAGAN D,DMK,97256,79.08,GEN,North,12614
Krishnagiri,53,Ashokkumar.K,AIADMK,96050,78.5,GEN,North,794
Veppanahalli,54,K.P.Munusamy,AIADMK,94104,81.31,GEN,North,3054
Hosur,55,PRAKAASH Y,DMK,118231,70.09,GEN,North,12367
Thalli,56,RAMACHANDRAN.T,CPI,120641,77.06,GEN,North,56226
Palacode,57,ANBALAGAN.K.P.,AIADMK,110070,87.37,GEN,North,28100
Pennagaram,58,MANI. G.K,PMK,106123,85.0,GEN,North,21186
Dharmapuri,59,VENKATESHWARAN.S.P.,PMK,105630,79.69,GEN,North,26860
Pappireddippatti,60,GOVINDASAMY.A,AIADMK,114507,82.15,GEN,North,36943
Harur,61,SAMPATHKUMAR.V,AIADMK,99061,78.46,SC,North,30362
Chengam,62,GIRI.M.P,DMK,108081,80.66,SC,North,11570
Tiruvannamalai,63,E V VELU,DMK,137876,71.69,GEN,North,94673
Kilpennathur,64,K.Pitchandi,DMK,104675,79.35,GEN,North,26787
Kalasapakkam,65,Saravanan.P.S.T,DMK,94134,80.36,GEN,North,9222
Polur,66,Agri KRISHNAMURTHY. S S,AIADMK,97732,82.33,GEN,North,9725
Arani,67,S.RAMACHANDRAN,AIADMK,102961,79.84,GEN,North,3128
Cheyyar,68,JOTHI. O,DMK,102460,81.69,GEN,North,12271
Vandavasi,69,Ambethkumar S,DMK,102064,76.81,SC,North,35953
Gingee,70,MASTHAN K S,DMK,109625,78.21,GEN,Central,35803
Mailam,71,SIVAKUMAR C,PMK,81044,79.5,GEN,Central,2230
